iter	Logloss
0	0.6851755778
1	0.6790772014
2	0.6709544924
3	0.6640311347
4	0.6553357442
5	0.6481835577
6	0.6365344259
7	0.628780365
8	0.622370561
9	0.6157405641
10	0.6092663341
11	0.60284498
12	0.5978959931
13	0.5906159083
14	0.5847321086
15	0.5787673526
16	0.5709181892
17	0.5626050101
18	0.5545809004
19	0.5483649572
20	0.5408062405
21	0.5356543859
22	0.5293676058
23	0.5250006782
24	0.5168622335
25	0.5126229392
26	0.5086014006
27	0.5028611289
28	0.498462783
29	0.492278311
30	0.4869528876
31	0.4824461407
32	0.4771464666
33	0.4714254273
34	0.4667699072
35	0.4610070123
36	0.455783844
37	0.4525737762
38	0.4480565389
39	0.4438784917
40	0.4393734402
41	0.4366344346
42	0.4323477215
43	0.4279630184
44	0.424182415
45	0.4185851945
46	0.4145474964
47	0.4101893107
48	0.4081692431
49	0.4049983025
50	0.4012957679
51	0.3981796636
52	0.3937937948
53	0.3904311392
54	0.3864839342
55	0.3836430444
56	0.3796490563
57	0.3760061794
58	0.373165581
59	0.3692552778
60	0.3669599957
61	0.362681018
62	0.3592344655
63	0.3568871021
64	0.3542555968
65	0.3512263828
66	0.348047283
67	0.3435905774
68	0.3415617413
69	0.3392607371
70	0.3359294732
71	0.332754506
72	0.3298405541
73	0.3277770943
74	0.3255607287
75	0.3225236999
76	0.3197910521
77	0.3166056209
78	0.314098835
79	0.3117700153
80	0.3090189828
81	0.3068554136
82	0.3044090006
83	0.3024512397
84	0.2991396056
85	0.2966646883
86	0.2933026685
87	0.2911247942
88	0.2890040874
89	0.2875518269
90	0.2856801086
91	0.2837464545
92	0.2820333375
93	0.2785931693
94	0.2772226863
95	0.275097847
96	0.2734119892
97	0.2714016438
98	0.2698203458
99	0.2682059076
100	0.265545792
101	0.2640090519
102	0.2614422904
103	0.2598614428
104	0.2578389115
105	0.2555033101
106	0.2534258101
107	0.2514171071
108	0.2494996919
109	0.2477707863
110	0.2453414864
111	0.2432177332
112	0.2412191762
113	0.23928131
114	0.2376229498
115	0.2359478209
116	0.2345379723
117	0.2326312595
118	0.2304195828
119	0.2288401127
120	0.2276443905
121	0.2259457376
122	0.2243688371
123	0.2229541408
124	0.2221533457
125	0.2204307715
126	0.2191023297
127	0.2170178625
128	0.2154947254
129	0.2134091059
130	0.2117385334
131	0.2107807663
132	0.2093966405
133	0.2074725363
134	0.2059619692
135	0.2054145336
136	0.2034120427
137	0.2018437386
138	0.2003571457
139	0.198510925
140	0.1966632737
141	0.1954121325
142	0.1944650544
143	0.1929487255
144	0.1915601624
145	0.1900851859
146	0.188605335
147	0.1874822246
148	0.1866057184
149	0.184833977
150	0.1837638219
151	0.182213015
152	0.1807852056
153	0.1798611879
154	0.1786770423
155	0.1774531073
156	0.1761551036
157	0.1747498512
158	0.1731094784
159	0.1723357439
160	0.1719715065
161	0.1709504392
162	0.1698964967
163	0.1691670153
164	0.16819138
165	0.1667706701
166	0.1653181712
167	0.1645496554
168	0.1635648939
169	0.1629149384
170	0.1621562375
171	0.1613958412
172	0.1602279743
173	0.1594624784
174	0.1586101585
175	0.1574795643
176	0.1564177407
177	0.1555125184
178	0.1547067563
179	0.1537883679
180	0.1525917053
181	0.1515369548
182	0.150427368
183	0.1498033603
184	0.1490938796
185	0.1479881869
186	0.1471033361
187	0.1462012264
188	0.1453230249
189	0.144094348
190	0.1432914469
191	0.1425445875
192	0.1418027083
193	0.1406678624
194	0.1399749385
195	0.1389556726
196	0.1381762293
197	0.1373809179
198	0.1366358598
199	0.135887093
