iter	Passed	Remaining
0	1	222
1	1	185
2	2	173
3	3	178
4	4	160
5	5	164
6	5	163
7	6	161
8	7	161
9	8	162
10	8	153
11	9	150
12	10	150
13	11	150
14	12	148
15	12	144
16	13	144
17	14	143
18	15	143
19	16	144
20	16	141
21	17	137
22	17	137
23	18	137
24	19	137
25	20	136
26	21	136
27	22	135
28	23	135
29	23	135
30	24	134
31	25	135
32	26	134
33	27	132
34	28	132
35	29	132
36	30	132
37	30	129
38	31	128
39	31	127
40	32	127
41	33	125
42	34	124
43	35	124
44	35	122
45	36	122
46	37	121
47	38	120
48	38	118
49	38	116
50	39	116
51	40	115
52	41	115
53	42	115
54	43	113
55	43	112
56	44	111
57	45	111
58	46	110
59	46	109
60	47	108
61	48	108
62	49	107
63	50	106
64	50	105
65	51	104
66	51	103
67	52	101
68	53	101
69	54	100
70	54	99
71	55	98
72	56	98
73	57	97
74	57	95
75	58	94
76	58	94
77	59	93
78	60	92
79	60	91
80	61	90
81	62	89
82	63	89
83	64	88
84	65	88
85	65	86
86	66	85
87	66	85
88	67	84
89	68	83
90	69	83
91	70	82
92	70	81
93	71	80
94	72	79
95	73	79
96	73	78
97	74	77
98	75	77
99	76	76
100	77	75
101	77	74
102	78	73
103	78	72
104	79	71
105	80	71
106	80	70
107	81	69
108	81	68
109	82	67
110	83	66
111	84	66
112	85	65
113	85	64
114	86	64
115	87	63
116	87	62
117	88	61
118	89	60
119	90	60
120	91	59
121	92	58
122	93	58
123	94	57
124	94	56
125	95	56
126	96	55
127	97	54
128	97	53
129	98	53
130	99	52
131	100	51
132	101	50
133	101	50
134	102	49
135	102	48
136	103	47
137	104	47
138	105	46
139	106	45
140	107	45
141	108	44
142	108	43
143	109	42
144	110	41
145	111	41
146	112	40
147	112	39
148	113	38
149	114	38
150	115	37
151	116	36
152	116	35
153	117	35
154	118	34
155	119	33
156	120	32
157	121	32
158	121	31
159	122	30
160	123	29
161	123	29
162	124	28
163	124	27
164	125	26
165	126	25
166	126	25
167	127	24
168	128	23
169	129	22
170	130	22
171	131	21
172	132	20
173	132	19
174	133	19
175	133	18
176	134	17
177	135	16
178	136	15
179	137	15
180	138	14
181	138	13
182	139	12
183	140	12
184	141	11
185	142	10
186	143	9
187	143	9
188	143	8
189	144	7
190	145	6
191	146	6
192	147	5
193	148	4
194	149	3
195	150	3
196	150	2
197	151	1
198	152	0
199	153	0
